measurementpoint.flowvalue,measurementpoint.speedvalue,measurementpoint.ninputs,measurementpoint.sdeviation,measurementpoint.measurementdatetime,measurementpoint.reference
3120.0,98.66666666666667,0.0,,2019-11-17 14:21:00,RWS01_MONIBAS_0021hrr0597ra
3840.0,101.33333333333333,0.0,,2019-11-17 14:27:00,RWS01_MONIBAS_0021hrr0597ra
4260.0,101.0,0.0,,2019-11-17 14:32:00,RWS01_MONIBAS_0021hrr0597ra
4080.0,99.66666666666667,0.0,,2019-11-17 14:38:00,RWS01_MONIBAS_0021hrr0597ra
3600.0,97.66666666666667,0.0,,2019-11-17 14:44:00,RWS01_MONIBAS_0021hrr0597ra
3180.0,98.66666666666667,0.0,,2019-11-17 14:50:00,RWS01_MONIBAS_0021hrr0597ra
2340.0,105.0,0.0,,2019-11-17 14:56:00,RWS01_MONIBAS_0021hrr0597ra
3120.0,101.0,0.0,,2019-11-17 15:01:00,RWS01_MONIBAS_0021hrr0597ra
3480.0,106.0,0.0,,2019-11-17 15:07:00,RWS01_MONIBAS_0021hrr0597ra
2820.0,101.0,0.0,,2019-11-17 15:13:00,RWS01_MONIBAS_0021hrr0597ra
4260.0,103.0,0.0,,2019-11-17 15:19:00,RWS01_MONIBAS_0021hrr0597ra
2880.0,100.66666666666667,0.0,,2019-11-17 15:25:00,RWS01_MONIBAS_0021hrr0597ra
3540.0,99.33333333333333,0.0,,2019-11-17 15:30:00,RWS01_MONIBAS_0021hrr0597ra
4080.0,97.0,0.0,,2019-11-17 15:36:00,RWS01_MONIBAS_0021hrr0597ra
3180.0,103.33333333333333,0.0,,2019-11-17 15:42:00,RWS01_MONIBAS_0021hrr0597ra
3960.0,99.33333333333333,0.0,,2019-11-17 15:48:00,RWS01_MONIBAS_0021hrr0597ra
3840.0,98.33333333333333,0.0,,2019-11-17 15:54:00,RWS01_MONIBAS_0021hrr0597ra
3660.0,97.33333333333333,0.0,,2019-11-17 15:59:00,RWS01_MONIBAS_0021hrr0597ra
2580.0,104.0,0.0,,2019-11-17 16:05:00,RWS01_MONIBAS_0021hrr0597ra
4320.0,95.66666666666667,0.0,,2019-11-17 16:11:00,RWS01_MONIBAS_0021hrr0597ra
3000.0,101.66666666666667,0.0,,2019-11-17 16:17:00,RWS01_MONIBAS_0021hrr0597ra
3060.0,100.66666666666667,0.0,,2019-11-17 16:23:00,RWS01_MONIBAS_0021hrr0597ra
2760.0,101.33333333333333,0.0,,2019-11-17 16:29:00,RWS01_MONIBAS_0021hrr0597ra
3660.0,98.66666666666667,0.0,,2019-11-17 16:34:00,RWS01_MONIBAS_0021hrr0597ra
3480.0,103.0,0.0,,2019-11-17 16:40:00,RWS01_MONIBAS_0021hrr0597ra
2640.0,101.0,0.0,,2019-11-17 16:46:00,RWS01_MONIBAS_0021hrr0597ra
3180.0,102.0,0.0,,2019-11-17 16:52:00,RWS01_MONIBAS_0021hrr0597ra
2460.0,104.0,0.0,,2019-11-17 16:58:00,RWS01_MONIBAS_0021hrr0597ra
2760.0,105.33333333333333,0.0,,2019-11-17 17:03:00,RWS01_MONIBAS_0021hrr0597ra
3000.0,99.0,0.0,,2019-11-17 17:09:00,RWS01_MONIBAS_0021hrr0597ra
2640.0,100.66666666666667,0.0,,2019-11-17 17:15:00,RWS01_MONIBAS_0021hrr0597ra
3180.0,97.0,0.0,,2019-11-17 17:21:00,RWS01_MONIBAS_0021hrr0597ra
1860.0,102.33333333333333,0.0,,2019-11-17 17:27:00,RWS01_MONIBAS_0021hrr0597ra
2820.0,99.0,0.0,,2019-11-17 17:32:00,RWS01_MONIBAS_0021hrr0597ra
2520.0,102.66666666666667,0.0,,2019-11-17 17:38:00,RWS01_MONIBAS_0021hrr0597ra
2820.0,98.33333333333333,0.0,,2019-11-17 17:44:00,RWS01_MONIBAS_0021hrr0597ra
